"d_essential_rank_tert","CASE_REPORTED_DATE_UPDATE","total_new_case","total_cum_case","Population","total_new_case100k","total_cum_caseper100k","rolling_newcases_100k"
1,2020-08-08,4,1786,901839,0.443538148161701,198.039783154199,0.427697500013068
1,2020-08-09,1,1787,901839,0.110884537040425,198.15066769124,0.411856851864436
1,2020-08-10,3,1790,901839,0.332653611121276,198.483321302361,0.443538148161701
1,2020-08-11,3,1793,901839,0.332653611121276,198.815974913482,0.475219444458965
1,2020-08-12,4,1797,901839,0.443538148161701,199.259513061644,0.443538148161701
1,2020-08-13,8,1805,901839,0.887076296323401,200.146589357967,0.459378796310333
1,2020-08-14,7,1812,901839,0.776191759282976,200.92278111725,0.459378796310333
1,2020-08-15,2,1814,901839,0.22176907408085,201.144550191331,0.522741388904861
1,2020-08-16,2,1816,901839,0.22176907408085,201.366319265412,0.506900740756229
1,2020-08-17,3,1819,901839,0.332653611121276,201.698972876533,0.475219444458965
1,2020-08-18,7,1826,901839,0.776191759282976,202.475164635816,0.396016203715804
1,2020-08-19,3,1829,901839,0.332653611121276,202.807818246938,0.427697500013068
1,2020-08-20,6,1835,901839,0.665307222242551,203.47312546918,0.506900740756229
1,2020-08-21,2,1837,901839,0.22176907408085,203.694894543261,0.554422685202126
1,2020-08-22,4,1841,901839,0.443538148161701,204.138432691423,0.522741388904861
1,2020-08-23,7,1848,901839,0.776191759282976,204.914624450706,0.538582037053494
1,2020-08-24,6,1854,901839,0.665307222242551,205.579931672948,0.538582037053494
1,2020-08-25,5,1859,901839,0.554422685202126,206.13435435815,0.570263333350758
1,2020-08-26,4,1863,901839,0.443538148161701,206.577892506312,0.712829166688447
1,2020-08-27,6,1869,901839,0.665307222242551,207.243199728555,0.617785277796654
1,2020-08-28,4,1873,901839,0.443538148161701,207.686737876716,0.617785277796654
1,2020-08-29,13,1886,901839,1.44149898152553,209.128236858242,0.681147870391183
1,2020-08-30,1,1887,901839,0.110884537040425,209.239121395282,0.744510462985712
1,2020-08-31,6,1893,901839,0.665307222242551,209.904428617525,0.80787305558024
1,2020-09-01,9,1902,901839,0.997960833363827,210.902389450889,0.887076296323401
1,2020-09-02,8,1910,901839,0.887076296323401,211.789465747212,0.792032407431608
1,2020-09-03,10,1920,901839,1.10884537040425,212.898311117616,0.871235648174769
