"d_essential_rank_tert","CLIENT_DEATH_DATE","total_new_death","total_cum_death","Population","total_new_death100k","total_cum_deathper100k","rolling_newdeah_100k"
2,2021-01-01,2,645,928581,0.215382395289156,69.4608224807529,0.369226963352839
2,2021-01-02,4,649,928581,0.430764790578312,69.8915872713312,0.399995876965576
2,2021-01-03,4,653,928581,0.430764790578312,70.3223520619095,0.461533704191049
2,2021-01-04,6,659,928581,0.646147185867469,70.968499247777,0.461533704191049
2,2021-01-05,4,663,928581,0.430764790578312,71.3992640383553,0.446149247384681
2,2021-01-06,5,668,928581,0.538455988222891,71.9377200265782,0.446149247384681
2,2021-01-07,5,673,928581,0.538455988222891,72.4761760148011,0.523071531416522
2,2021-01-08,1,674,928581,0.107691197644578,72.5838672124457,0.538455988222891
2,2021-01-09,4,678,928581,0.430764790578312,73.014632003024,0.523071531416522
2,2021-01-10,9,687,928581,0.969220778801203,73.9838527818252,0.507687074610154
2,2021-01-11,7,694,928581,0.753838383512047,74.7376911653372,0.461533704191049
2,2021-01-12,3,697,928581,0.323073592933734,75.0607647582709,0.523071531416522
2,2021-01-13,4,701,928581,0.430764790578312,75.4915295488493,0.553840445029259
2,2021-01-14,2,703,928581,0.215382395289156,75.7069119441384,0.492302617803786
2,2021-01-15,5,708,928581,0.538455988222891,76.2453679323613,0.446149247384681
2,2021-01-16,6,714,928581,0.646147185867469,76.8915151182288,0.430764790578313
2,2021-01-17,5,719,928581,0.538455988222891,77.4299711064517,0.446149247384681
2,2021-01-18,4,723,928581,0.430764790578312,77.86073589703,0.523071531416522
2,2021-01-19,2,725,928581,0.215382395289156,78.0761182923191,0.538455988222891
2,2021-01-20,5,730,928581,0.538455988222891,78.614574280542,0.461533704191049
2,2021-01-21,7,737,928581,0.753838383512047,79.3684126640541,0.476918160997417
2,2021-01-22,6,743,928581,0.646147185867469,80.0145598499216,NA
2,2021-01-23,1,744,928581,0.107691197644578,80.1222510475661,NA
2,2021-01-24,6,750,928581,0.646147185867469,80.7683982334336,NA
3,2020-03-11,0,0,900608,0,0,NA
3,2020-03-12,0,0,900608,0,0,NA
3,2020-03-13,0,0,900608,0,0,NA
3,2020-03-14,0,0,900608,0,0,0
3,2020-03-15,0,0,900608,0,0,0
3,2020-03-16,0,0,900608,0,0,0
3,2020-03-17,0,0,900608,0,0,0
3,2020-03-18,0,0,900608,0,0,0
3,2020-03-19,0,0,900608,0,0,0
3,2020-03-20,0,0,900608,0,0,0.0158623000081215
3,2020-03-21,0,0,900608,0,0,0.0158623000081215
3,2020-03-22,0,0,900608,0,0,0.031724600016243
3,2020-03-23,1,1,900608,0.11103610005685,0.11103610005685,0.031724600016243
3,2020-03-24,0,1,900608,0,0.11103610005685,0.031724600016243
3,2020-03-25,1,2,900608,0.11103610005685,0.222072200113701,0.031724600016243
3,2020-03-26,0,2,900608,0,0.222072200113701,0.031724600016243
3,2020-03-27,0,2,900608,0,0.222072200113701,0.031724600016243
3,2020-03-28,0,2,900608,0,0.222072200113701,0.063449200032486
3,2020-03-29,0,2,900608,0,0.222072200113701,0.095173800048729
3,2020-03-30,1,3,900608,0.11103610005685,0.333108300170551,0.142760700073093
3,2020-03-31,2,5,900608,0.222072200113701,0.555180500284252,0.158623000081215
3,2020-04-01,3,8,900608,0.333108300170551,0.888288800454804,0.237934500121822
3,2020-04-02,3,11,900608,0.333108300170551,1.22139710062536,0.301383700154308
3,2020-04-03,1,12,900608,0.11103610005685,1.33243320068221,0.348970600178673
3,2020-04-04,5,17,900608,0.555180500284252,1.88761370096646,0.380695200194916
3,2020-04-05,4,21,900608,0.444144400227402,2.33175810119386,0.475869000243645
3,2020-04-06,4,25,900608,0.444144400227402,2.77590250142126,0.491731300251766
3,2020-04-07,4,29,900608,0.444144400227402,3.22004690164866,0.571042800292374
3,2020-04-08,9,38,900608,0.999324900511654,4.21937180216032,0.618629700316738
3,2020-04-09,4,42,900608,0.444144400227402,4.66351620238772,0.618629700316738
3,2020-04-10,6,48,900608,0.666216600341103,5.32973280272882,0.63449200032486
3,2020-04-11,8,56,900608,0.888288800454804,6.21802160318363,0.650354300332981
3,2020-04-12,4,60,900608,0.444144400227402,6.66216600341103,0.697941200357346
3,2020-04-13,5,65,900608,0.555180500284252,7.21734650369528,0.74552810038171
3,2020-04-14,5,70,900608,0.555180500284252,7.77252700397953,0.729665800373589
3,2020-04-15,12,82,900608,1.33243320068221,9.10496020466174,0.793115000406075
3,2020-04-16,7,89,900608,0.777252700397953,9.88221290505969,0.95173800048729
3,2020-04-17,5,94,900608,0.555180500284252,10.4373934053439,0.967600300495411
3,2020-04-18,12,106,900608,1.33243320068221,11.7698266060262,1.07863640055226
3,2020-04-19,14,120,900608,1.55450540079591,13.3243320068221,1.07863640055226
3,2020-04-20,6,126,900608,0.666216600341103,13.9905486071632,1.06277410054414
3,2020-04-21,12,138,900608,1.33243320068221,15.3229818078454,1.20553480061723
3,2020-04-22,12,150,900608,1.33243320068221,16.6554150085276,1.15794790059287
3,2020-04-23,6,156,900608,0.666216600341103,17.3216316088687,1.1103610005685
3,2020-04-24,14,170,900608,1.55450540079591,18.8761370096646,1.2531217006416
3,2020-04-25,9,179,900608,0.999324900511654,19.8754619101762,1.15794790059287
3,2020-04-26,11,190,900608,1.22139710062536,21.0968590108016,1.17381020060099
3,2020-04-27,15,205,900608,1.66554150085276,22.7624005116543,1.28484630065784
3,2020-04-28,6,211,900608,0.666216600341103,23.4286171119955,1.31657090067408
3,2020-04-29,13,224,900608,1.44346930073906,24.8720864127345,1.28484630065784
3,2020-04-30,13,237,900608,1.44346930073906,26.3155557134736,1.2531217006416
3,2020-05-01,16,253,900608,1.77657760090961,28.0921333143832,1.15794790059287
3,2020-05-02,7,260,900608,0.777252700397953,28.8693860147811,1.17381020060099
3,2020-05-03,9,269,900608,0.999324900511654,29.8687109152928,1.18967250060911
3,2020-05-04,9,278,900608,0.999324900511654,30.8680358158044,1.1103610005685
3,2020-05-05,7,285,900608,0.777252700397953,31.6452885162024,0.904151100462925
3,2020-05-06,14,299,900608,1.55450540079591,33.1997939169983,0.935875700479168
3,2020-05-07,8,307,900608,0.888288800454804,34.0880827174531,0.95173800048729
3,2020-05-08,3,310,900608,0.333108300170551,34.4211910176236,0.840701900430439
3,2020-05-09,9,319,900608,0.999324900511654,35.4205159181353,0.824839600422318
3,2020-05-10,10,329,900608,1.1103610005685,36.5308769187038,0.713803500365467
3,2020-05-11,2,331,900608,0.222072200113701,36.7529491188175,0.650354300332981
3,2020-05-12,6,337,900608,0.666216600341103,37.4191657191586,0.713803500365467
3,2020-05-13,7,344,900608,0.777252700397953,38.1964184195566,0.713803500365467
3,2020-05-14,4,348,900608,0.444144400227402,38.640562819784,0.697941200357346
3,2020-05-15,7,355,900608,0.777252700397953,39.4178155201819,0.808977300414196
3,2020-05-16,9,364,900608,0.999324900511654,40.4171404206936,0.777252700397953
3,2020-05-17,9,373,900608,0.999324900511654,41.4164653212052,0.74552810038171
3,2020-05-18,9,382,900608,0.999324900511654,42.4157902217169,0.761390400389832
3,2020-05-19,4,386,900608,0.444144400227402,42.8599346219443,0.74552810038171
3,2020-05-20,5,391,900608,0.555180500284252,43.4151151222285,0.682078900349224
3,2020-05-21,5,396,900608,0.555180500284252,43.9702956225128,0.650354300332981
3,2020-05-22,6,402,900608,0.666216600341103,44.6365122228539,0.555180500284252
3,2020-05-23,5,407,900608,0.555180500284252,45.1916927231381,0.586905100300495
3,2020-05-24,7,414,900608,0.777252700397953,45.9689454235361,0.618629700316738
3,2020-05-25,3,417,900608,0.333108300170551,46.3020537237067,0.618629700316738
3,2020-05-26,6,423,900608,0.666216600341103,46.9682703240478,0.63449200032486
3,2020-05-27,7,430,900608,0.777252700397953,47.7455230244457,0.713803500365467
3,2020-05-28,5,435,900608,0.555180500284252,48.30070352473,0.618629700316738
3,2020-05-29,7,442,900608,0.777252700397953,49.0779562251279,0.618629700316738
3,2020-05-30,10,452,900608,1.1103610005685,50.1883172256964,0.555180500284252
3,2020-05-31,1,453,900608,0.11103610005685,50.2993533257533,0.507593600259888
3,2020-06-01,3,456,900608,0.333108300170551,50.6324616259238,0.523455900268009
3,2020-06-02,2,458,900608,0.222072200113701,50.8545338260375,0.444144400227402
3,2020-06-03,4,462,900608,0.444144400227402,51.2986782262649,0.348970600178673
3,2020-06-04,6,468,900608,0.666216600341103,51.964894826606,0.396557500203037
3,2020-06-05,2,470,900608,0.222072200113701,52.1869670267197,0.364832900186794
3,2020-06-06,4,474,900608,0.444144400227402,52.6311114269471,0.42828210021928
3,2020-06-07,4,478,900608,0.444144400227402,53.0752558271745,0.42828210021928
3,2020-06-08,1,479,900608,0.11103610005685,53.1862919272314,0.348970600178673
3,2020-06-09,6,485,900608,0.666216600341103,53.8525085275725,0.31724600016243
3,2020-06-10,4,489,900608,0.444144400227402,54.2966529277999,0.285521400146187
3,2020-06-11,1,490,900608,0.11103610005685,54.4076890278567,0.301383700154308
3,2020-06-12,0,490,900608,0,54.4076890278567,0.31724600016243
3,2020-06-13,2,492,900608,0.222072200113701,54.6297612279704,0.269659100138065
3,2020-06-14,5,497,900608,0.555180500284252,55.1849417282547,0.222072200113701
3,2020-06-15,2,499,900608,0.222072200113701,55.4070139283684,0.253796800129944
3,2020-06-16,3,502,900608,0.333108300170551,55.7401222285389,0.269659100138065
3,2020-06-17,1,503,900608,0.11103610005685,55.8511583285958,0.269659100138065
